Product Category,Cable Type,Voltage Grade,Conductor Material,Core Count,Cross Section (sq.mm),Armouring,Insulation Type,Standard,Price (Rupees/m),Source
HT Power,A2XWaY,6.6 kV,Aluminium,1,95,Armoured,XLPE,IS 7098 (Part 2):2011,1444,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,120,Armoured,XLPE,IS 7098 (Part 2):2011,1580,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,150,Armoured,XLPE,IS 7098 (Part 2):2011,1742,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,185,Armoured,XLPE,IS 7098 (Part 2):2011,1931,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,240,Armoured,XLPE,IS 7098 (Part 2):2011,2228,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,300,Armoured,XLPE,IS 7098 (Part 2):2011,2552,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,400,Armoured,XLPE,IS 7098 (Part 2):2011,3092,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,35,Armoured,XLPE,IS 7098 (Part 2):2011,2913,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,50,Armoured,XLPE,IS 7098 (Part 2):2011,3124,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,70,Armoured,XLPE,IS 7098 (Part 2):2011,3405,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,95,Armoured,XLPE,IS 7098 (Part 2):2011,3756,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,120,Armoured,XLPE,IS 7098 (Part 2):2011,4107,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,150,Armoured,XLPE,IS 7098 (Part 2):2011,4528,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,185,Armoured,XLPE,IS 7098 (Part 2):2011,5019,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,240,Armoured,XLPE,IS 7098 (Part 2):2011,5792,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,300,Armoured,XLPE,IS 7098 (Part 2):2011,6634,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,3,400,Armoured,XLPE,IS 7098 (Part 2):2011,8038,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,35,Armoured,XLPE,IS 7098 (Part 2):2011,1793,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,50,Armoured,XLPE,IS 7098 (Part 2):2011,1922,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,70,Armoured,XLPE,IS 7098 (Part 2):2011,2095,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,95,Armoured,XLPE,IS 7098 (Part 2):2011,2311,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,120,Armoured,XLPE,IS 7098 (Part 2):2011,2527,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,150,Armoured,XLPE,IS 7098 (Part 2):2011,2786,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,185,Armoured,XLPE,IS 7098 (Part 2):2011,3089,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,240,Armoured,XLPE,IS 7098 (Part 2):2011,3564,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,300,Armoured,XLPE,IS 7098 (Part 2):2011,4082,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,1,400,Armoured,XLPE,IS 7098 (Part 2):2011,4946,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,35,Armoured,XLPE,IS 7098 (Part 2):2011,4661,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,50,Armoured,XLPE,IS 7098 (Part 2):2011,4998,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,70,Armoured,XLPE,IS 7098 (Part 2):2011,5448,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,95,Armoured,XLPE,IS 7098 (Part 2):2011,6009,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,120,Armoured,XLPE,IS 7098 (Part 2):2011,6571,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,150,Armoured,XLPE,IS 7098 (Part 2):2011,7245,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,185,Armoured,XLPE,IS 7098 (Part 2):2011,8031,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,240,Armoured,XLPE,IS 7098 (Part 2):2011,9266,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,300,Armoured,XLPE,IS 7098 (Part 2):2011,10614,Extended: demo estimate — replace with real rates
HT Power,2XWaY,6.6 kV,Copper,3,400,Armoured,XLPE,IS 7098 (Part 2):2011,12861,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,35,Armoured,XLPE,IS 7098 (Part 2):2011,1411,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,50,Armoured,XLPE,IS 7098 (Part 2):2011,1513,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,70,Armoured,XLPE,IS 7098 (Part 2):2011,1649,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,95,Armoured,XLPE,IS 7098 (Part 2):2011,1819,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,120,Armoured,XLPE,IS 7098 (Part 2):2011,1989,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,150,Armoured,XLPE,IS 7098 (Part 2):2011,2193,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,185,Armoured,XLPE,IS 7098 (Part 2):2011,2431,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,240,Armoured,XLPE,IS 7098 (Part 2):2011,2805,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,300,Armoured,XLPE,IS 7098 (Part 2):2011,3213,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,1,400,Armoured,XLPE,IS 7098 (Part 2):2011,3893,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,35,Armoured,XLPE,IS 7098 (Part 2):2011,3669,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,50,Armoured,XLPE,IS 7098 (Part 2):2011,3934,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,70,Armoured,XLPE,IS 7098 (Part 2):2011,4287,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,95,Armoured,XLPE,IS 7098 (Part 2):2011,4729,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,120,Armoured,XLPE,IS 7098 (Part 2):2011,5171,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,150,Armoured,XLPE,IS 7098 (Part 2):2011,5702,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,185,Armoured,XLPE,IS 7098 (Part 2):2011,6321,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,240,Armoured,XLPE,IS 7098 (Part 2):2011,7293,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,300,Armoured,XLPE,IS 7098 (Part 2):2011,8354,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,11 kV,Aluminium,3,400,Armoured,XLPE,IS 7098 (Part 2):2011,10122,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,35,Armoured,XLPE,IS 7098 (Part 2):2011,2258,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,50,Armoured,XLPE,IS 7098 (Part 2):2011,2421,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,70,Armoured,XLPE,IS 7098 (Part 2):2011,2638,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,95,Armoured,XLPE,IS 7098 (Part 2):2011,2910,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,120,Armoured,XLPE,IS 7098 (Part 2):2011,3182,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,150,Armoured,XLPE,IS 7098 (Part 2):2011,3509,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,185,Armoured,XLPE,IS 7098 (Part 2):2011,3890,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,240,Armoured,XLPE,IS 7098 (Part 2):2011,4488,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,300,Armoured,XLPE,IS 7098 (Part 2):2011,5141,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,1,400,Armoured,XLPE,IS 7098 (Part 2):2011,6229,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,35,Armoured,XLPE,IS 7098 (Part 2):2011,5870,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,50,Armoured,XLPE,IS 7098 (Part 2):2011,6294,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,70,Armoured,XLPE,IS 7098 (Part 2):2011,6860,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,95,Armoured,XLPE,IS 7098 (Part 2):2011,7567,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,120,Armoured,XLPE,IS 7098 (Part 2):2011,8274,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,150,Armoured,XLPE,IS 7098 (Part 2):2011,9123,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,185,Armoured,XLPE,IS 7098 (Part 2):2011,10113,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,240,Armoured,XLPE,IS 7098 (Part 2):2011,11669,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,300,Armoured,XLPE,IS 7098 (Part 2):2011,13366,Extended: demo estimate — replace with real rates
HT Power,2XWaY,11 kV,Copper,3,400,Armoured,XLPE,IS 7098 (Part 2):2011,16195,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,35,Armoured,XLPE,IS 7098 (Part 2):2011,1992,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,50,Armoured,XLPE,IS 7098 (Part 2):2011,2136,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,70,Armoured,XLPE,IS 7098 (Part 2):2011,2328,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,95,Armoured,XLPE,IS 7098 (Part 2):2011,2568,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,120,Armoured,XLPE,IS 7098 (Part 2):2011,2808,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,150,Armoured,XLPE,IS 7098 (Part 2):2011,3096,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,185,Armoured,XLPE,IS 7098 (Part 2):2011,3432,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,240,Armoured,XLPE,IS 7098 (Part 2):2011,3960,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,300,Armoured,XLPE,IS 7098 (Part 2):2011,4536,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,1,400,Armoured,XLPE,IS 7098 (Part 2):2011,5496,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,35,Armoured,XLPE,IS 7098 (Part 2):2011,5179,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,50,Armoured,XLPE,IS 7098 (Part 2):2011,5554,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,70,Armoured,XLPE,IS 7098 (Part 2):2011,6053,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,95,Armoured,XLPE,IS 7098 (Part 2):2011,6677,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,120,Armoured,XLPE,IS 7098 (Part 2):2011,7301,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,150,Armoured,XLPE,IS 7098 (Part 2):2011,8050,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,185,Armoured,XLPE,IS 7098 (Part 2):2011,8923,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,240,Armoured,XLPE,IS 7098 (Part 2):2011,10296,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,300,Armoured,XLPE,IS 7098 (Part 2):2011,11794,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,22 kV,Aluminium,3,400,Armoured,XLPE,IS 7098 (Part 2):2011,14290,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,35,Armoured,XLPE,IS 7098 (Part 2):2011,3187,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,50,Armoured,XLPE,IS 7098 (Part 2):2011,3418,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,70,Armoured,XLPE,IS 7098 (Part 2):2011,3725,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,95,Armoured,XLPE,IS 7098 (Part 2):2011,4109,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,120,Armoured,XLPE,IS 7098 (Part 2):2011,4493,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,150,Armoured,XLPE,IS 7098 (Part 2):2011,4954,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,185,Armoured,XLPE,IS 7098 (Part 2):2011,5491,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,240,Armoured,XLPE,IS 7098 (Part 2):2011,6336,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,300,Armoured,XLPE,IS 7098 (Part 2):2011,7258,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,1,400,Armoured,XLPE,IS 7098 (Part 2):2011,8794,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,35,Armoured,XLPE,IS 7098 (Part 2):2011,8287,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,50,Armoured,XLPE,IS 7098 (Part 2):2011,8886,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,70,Armoured,XLPE,IS 7098 (Part 2):2011,9684,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,95,Armoured,XLPE,IS 7098 (Part 2):2011,10683,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,120,Armoured,XLPE,IS 7098 (Part 2):2011,11681,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,150,Armoured,XLPE,IS 7098 (Part 2):2011,12879,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,185,Armoured,XLPE,IS 7098 (Part 2):2011,14277,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,240,Armoured,XLPE,IS 7098 (Part 2):2011,16474,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,300,Armoured,XLPE,IS 7098 (Part 2):2011,18870,Extended: demo estimate — replace with real rates
HT Power,2XWaY,22 kV,Copper,3,400,Armoured,XLPE,IS 7098 (Part 2):2011,22863,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,35,Armoured,XLPE,IS 7098 (Part 2):2011,2656,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,50,Armoured,XLPE,IS 7098 (Part 2):2011,2848,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,70,Armoured,XLPE,IS 7098 (Part 2):2011,3104,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,95,Armoured,XLPE,IS 7098 (Part 2):2011,3424,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,120,Armoured,XLPE,IS 7098 (Part 2):2011,3744,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,150,Armoured,XLPE,IS 7098 (Part 2):2011,4128,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,185,Armoured,XLPE,IS 7098 (Part 2):2011,4576,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,240,Armoured,XLPE,IS 7098 (Part 2):2011,5280,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,300,Armoured,XLPE,IS 7098 (Part 2):2011,6048,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,1,400,Armoured,XLPE,IS 7098 (Part 2):2011,7328,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,35,Armoured,XLPE,IS 7098 (Part 2):2011,6906,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,50,Armoured,XLPE,IS 7098 (Part 2):2011,7405,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,70,Armoured,XLPE,IS 7098 (Part 2):2011,8070,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,95,Armoured,XLPE,IS 7098 (Part 2):2011,8902,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,120,Armoured,XLPE,IS 7098 (Part 2):2011,9734,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,150,Armoured,XLPE,IS 7098 (Part 2):2011,10733,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,185,Armoured,XLPE,IS 7098 (Part 2):2011,11898,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,240,Armoured,XLPE,IS 7098 (Part 2):2011,13728,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,300,Armoured,XLPE,IS 7098 (Part 2):2011,15725,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,33 kV,Aluminium,3,400,Armoured,XLPE,IS 7098 (Part 2):2011,19053,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,35,Armoured,XLPE,IS 7098 (Part 2):2011,4250,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,50,Armoured,XLPE,IS 7098 (Part 2):2011,4557,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,70,Armoured,XLPE,IS 7098 (Part 2):2011,4966,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,95,Armoured,XLPE,IS 7098 (Part 2):2011,5478,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,120,Armoured,XLPE,IS 7098 (Part 2):2011,5990,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,150,Armoured,XLPE,IS 7098 (Part 2):2011,6605,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,185,Armoured,XLPE,IS 7098 (Part 2):2011,7322,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,240,Armoured,XLPE,IS 7098 (Part 2):2011,8448,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,300,Armoured,XLPE,IS 7098 (Part 2):2011,9677,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,1,400,Armoured,XLPE,IS 7098 (Part 2):2011,11725,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,35,Armoured,XLPE,IS 7098 (Part 2):2011,11049,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,50,Armoured,XLPE,IS 7098 (Part 2):2011,11848,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,70,Armoured,XLPE,IS 7098 (Part 2):2011,12913,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,95,Armoured,XLPE,IS 7098 (Part 2):2011,14244,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,120,Armoured,XLPE,IS 7098 (Part 2):2011,15575,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,150,Armoured,XLPE,IS 7098 (Part 2):2011,17172,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,185,Armoured,XLPE,IS 7098 (Part 2):2011,19036,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,240,Armoured,XLPE,IS 7098 (Part 2):2011,21965,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,300,Armoured,XLPE,IS 7098 (Part 2):2011,25160,Extended: demo estimate — replace with real rates
HT Power,2XWaY,33 kV,Copper,3,400,Armoured,XLPE,IS 7098 (Part 2):2011,30484,Extended: demo estimate — replace with real rates
LT Distribution,Aerial Bunched Cable (ABC),1.1 kV,Aluminium,4,16,Unarmoured,XLPE,IS 14255,95,Extended: demo estimate — replace with real rates
LT Distribution,Aerial Bunched Cable (ABC),1.1 kV,Aluminium,4,25,Unarmoured,XLPE,IS 14255,120,Extended: demo estimate — replace with real rates
LT Distribution,Aerial Bunched Cable (ABC),1.1 kV,Aluminium,4,35,Unarmoured,XLPE,IS 14255,150,Extended: demo estimate — replace with real rates
LT Distribution,Aerial Bunched Cable (ABC),1.1 kV,Aluminium,4,50,Unarmoured,XLPE,IS 14255,190,Extended: demo estimate — replace with real rates
LT Distribution,Aerial Bunched Cable (ABC),1.1 kV,Aluminium,4,70,Unarmoured,XLPE,IS 14255,245,Extended: demo estimate — replace with real rates
LT Distribution,Aerial Bunched Cable (ABC),1.1 kV,Aluminium,4,95,Unarmoured,XLPE,IS 14255,310,Extended: demo estimate — replace with real rates
Solar,Solar DC Cable,1.5 kV,Copper,1,2.5,Unarmoured,XLPO,IS 17293,55,Extended: demo estimate — replace with real rates
Solar,Solar DC Cable,1.5 kV,Copper,1,4,Unarmoured,XLPO,IS 17293,78,Extended: demo estimate — replace with real rates
Solar,Solar DC Cable,1.5 kV,Copper,1,6,Unarmoured,XLPO,IS 17293,108,Extended: demo estimate — replace with real rates
Solar,Solar DC Cable,1.5 kV,Copper,1,10,Unarmoured,XLPO,IS 17293,168,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 1 Pair,1.1 kV,Copper,2,0.5,Armoured,PVC,BS 5308,48,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 1 Pair,1.1 kV,Copper,2,0.75,Armoured,PVC,BS 5308,58,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 1 Pair,1.1 kV,Copper,2,1.5,Armoured,PVC,BS 5308,88,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 2 Pair,1.1 kV,Copper,4,0.5,Armoured,PVC,BS 5308,86,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 2 Pair,1.1 kV,Copper,4,0.75,Armoured,PVC,BS 5308,104,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 2 Pair,1.1 kV,Copper,4,1.5,Armoured,PVC,BS 5308,158,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 5 Pair,1.1 kV,Copper,10,0.5,Armoured,PVC,BS 5308,202,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 5 Pair,1.1 kV,Copper,10,0.75,Armoured,PVC,BS 5308,244,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 5 Pair,1.1 kV,Copper,10,1.5,Armoured,PVC,BS 5308,370,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 10 Pair,1.1 kV,Copper,20,0.5,Armoured,PVC,BS 5308,394,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 10 Pair,1.1 kV,Copper,20,0.75,Armoured,PVC,BS 5308,476,Extended: demo estimate — replace with real rates
Instrumentation Cable,Shielded Instrumentation Cable 10 Pair,1.1 kV,Copper,20,1.5,Armoured,PVC,BS 5308,722,Extended: demo estimate — replace with real rates
Flat & Building Wire,FRLS PVC Insulated Wire,450/750 V,Copper,1,1,Unarmoured,FRLS PVC,IS 694:2010,55,Extended: demo estimate — replace with real rates
Flat & Building Wire,FRLS PVC Insulated Wire,450/750 V,Copper,1,1.5,Unarmoured,FRLS PVC,IS 694:2010,71,Extended: demo estimate — replace with real rates
Flat & Building Wire,FRLS PVC Insulated Wire,450/750 V,Copper,1,2.5,Unarmoured,FRLS PVC,IS 694:2010,103,Extended: demo estimate — replace with real rates
Flat & Building Wire,FRLS PVC Insulated Wire,450/750 V,Copper,1,4,Unarmoured,FRLS PVC,IS 694:2010,152,Extended: demo estimate — replace with real rates
Flat & Building Wire,FRLS PVC Insulated Wire,450/750 V,Copper,1,6,Unarmoured,FRLS PVC,IS 694:2010,216,Extended: demo estimate — replace with real rates
Overhead Conductor,ACSR Squirrel,33 kV,Aluminium,1,20,Unarmoured,Bare,IS 398 (Part 2),42,Extended: demo estimate — replace with real rates
Overhead Conductor,ACSR Weasel,33 kV,Aluminium,1,30,Unarmoured,Bare,IS 398 (Part 2),58,Extended: demo estimate — replace with real rates
Overhead Conductor,ACSR Rabbit,33 kV,Aluminium,1,50,Unarmoured,Bare,IS 398 (Part 2),92,Extended: demo estimate — replace with real rates
Overhead Conductor,ACSR Dog,33 kV,Aluminium,1,100,Unarmoured,Bare,IS 398 (Part 2),178,Extended: demo estimate — replace with real rates
Overhead Conductor,ACSR Wolf,33 kV,Aluminium,1,150,Unarmoured,Bare,IS 398 (Part 2),262,Extended: demo estimate — replace with real rates
Overhead Conductor,ACSR Panther,33 kV,Aluminium,1,200,Unarmoured,Bare,IS 398 (Part 2),348,Extended: demo estimate — replace with real rates
Overhead Conductor,AAAC,33 kV,Aluminium,1,34,Unarmoured,Bare,IS 398 (Part 4),60,Extended: demo estimate — replace with real rates
Overhead Conductor,AAAC,33 kV,Aluminium,1,55,Unarmoured,Bare,IS 398 (Part 4),95,Extended: demo estimate — replace with real rates
Overhead Conductor,AAAC,33 kV,Aluminium,1,100,Unarmoured,Bare,IS 398 (Part 4),172,Extended: demo estimate — replace with real rates
